t,001_N_ITERATIONS( 0.0050_ 0.0000_ 0.0000),002_TEMPERATURE( 0.0000_ 0.0000_ 0.0000),003_TEMPERATURE( 0.0080_ 0.0000_ 0.0000),004_TEMPERATURE( 0.0160_ 0.0000_ 0.0000),005_TEMPERATURE( 0.0400_ 0.0000_ 0.0000),
       158.0000,        1.0000000,      107.1858703,       48.8227145,       30.4555298,       26.8508357,
       159.0000,        1.0000000,      107.4397043,       48.9991334,       30.5147606,       26.8508928,
       160.0000,        1.0000000,      107.6927414,       49.1754001,       30.5743466,       26.8509530,
       161.0000,        1.0000000,      107.9449889,       49.3515130,       30.6342842,       26.8510165,
       162.0000,        1.0000000,      108.1964543,       49.5274708,       30.6945701,       26.8510834,
       163.0000,        1.0000000,      108.4471447,       49.7032723,       30.7552007,       26.8511539,
       164.0000,        1.0000000,      108.6970672,       49.8789161,       30.8161727,       26.8512281,
       165.0000,        1.0000000,      108.9462290,       50.0544011,       30.8774826,       26.8513061,
       166.0000,        1.0000000,      109.1946368,       50.2297261,       30.9391271,       26.8513881,
       167.0000,        1.0000000,      109.4422974,       50.4048900,       31.0011027,       26.8514743,
       168.0000,        1.0000000,      109.6892177,       50.5798917,       31.0634063,       26.8515647,
       169.0000,        1.0000000,      109.9354042,       50.7547302,       31.1260344,       26.8516596,
       170.0000,        1.0000000,      110.1808633,       50.9294045,       31.1889838,       26.8517591,
       171.0000,        1.0000000,      110.4256015,       51.1039137,       31.2522513,       26.8518634,
       172.0000,        1.0000000,      110.6696252,       51.2782568,       31.3158336,       26.8519727,
       173.0000,        1.0000000,      110.9129405,       51.4524330,       31.3797276,       26.8520871,
       174.0000,        1.0000000,      111.1555535,       51.6264415,       31.4439301,       26.8522067,
       175.0000,        1.0000000,      111.3974704,       51.8002815,       31.5084379,       26.8523319,
       176.0000,        1.0000000,      111.6386970,       51.9739522,       31.5732480,       26.8524627,
       177.0000,        1.0000000,      111.8792393,       52.1474530,       31.6383573,       26.8525993,
       178.0000,        1.0000000,      112.1191030,       52.3207830,       31.7037626,       26.8527420,
       179.0000,        1.0000000,      112.3582939,       52.4939417,       31.7694610,       26.8528908,
       180.0000,        1.0000000,      112.5968176,       52.6669285,       31.8354495,       26.8530461,
       181.0000,        1.0000000,      112.8346795,       52.8397427,       31.9017251,       26.8532080,
       182.0000,        1.0000000,      113.0718853,       53.0123838,       31.9682849,       26.8533768,
       183.0000,        1.0000000,      113.3084403,       53.1848512,       32.0351259,       26.8535525,
       184.0000,        1.0000000,      113.5443499,       53.3571445,       32.1022451,       26.8537355,
       185.0000,        1.0000000,      113.7796192,       53.5292631,       32.1696399,       26.8539259,
