s,C,C,C,C,C,C
Time,"TS_x195-40","TS_x145-30","TS_x095-20","TS_x025-40","TS_x195-01","TS_x025-01"
 1.7000000E+003, 7.8456338E+002, 6.1426711E+002, 3.8310805E+002, 3.0672729E+002, 2.7648032E+002, 1.7407171E+002
 1.7100000E+003, 7.8458999E+002, 6.1458726E+002, 3.8382166E+002, 3.0748604E+002, 2.7749091E+002, 1.7503382E+002
 1.7200000E+003, 7.8461268E+002, 6.1486024E+002, 3.8443048E+002, 3.0813363E+002, 2.7835236E+002, 1.7585596E+002
 1.7300000E+003, 7.8463901E+002, 6.1517708E+002, 3.8513750E+002, 3.0888595E+002, 2.7935189E+002, 1.7681221E+002
 1.7400000E+003, 7.8466518E+002, 6.1549217E+002, 3.8584104E+002, 3.0963487E+002, 2.8034556E+002, 1.7776531E+002
 1.7500000E+003, 7.8468750E+002, 6.1576089E+002, 3.8644133E+002, 3.1027414E+002, 2.8119269E+002, 1.7857977E+002
 1.7600000E+003, 7.8471339E+002, 6.1607283E+002, 3.8713852E+002, 3.1101687E+002, 2.8217570E+002, 1.7952710E+002
 1.7700000E+003, 7.8473914E+002, 6.1638310E+002, 3.8783236E+002, 3.1175634E+002, 2.8315307E+002, 1.8047133E+002
 1.7800000E+003, 7.8476110E+002, 6.1664774E+002, 3.8842444E+002, 3.1238759E+002, 2.8398638E+002, 1.8127823E+002
 1.7900000E+003, 7.8478659E+002, 6.1695499E+002, 3.8911215E+002, 3.1312110E+002, 2.8495346E+002, 1.8221677E+002
 1.8000000E+003, 7.8481194E+002, 6.1726065E+002, 3.8979663E+002, 3.1385145E+002, 2.8591511E+002, 1.8315226E+002
 1.8100000E+003, 7.8483356E+002, 6.1752140E+002, 3.9038078E+002, 3.1447499E+002, 2.8673510E+002, 1.8395171E+002
 1.8200000E+003, 7.8485866E+002, 6.1782416E+002, 3.9105934E+002, 3.1519960E+002, 2.8768682E+002, 1.8488160E+002
 1.8300000E+003, 7.8488363E+002, 6.1812540E+002, 3.9173478E+002, 3.1592116E+002, 2.8863329E+002, 1.8580849E+002
 1.8400000E+003, 7.8490492E+002, 6.1838240E+002, 3.9231127E+002, 3.1653726E+002, 2.8944042E+002, 1.8660059E+002
 1.8500000E+003, 7.8492965E+002, 6.1868086E+002, 3.9298100E+002, 3.1725328E+002, 2.9037732E+002, 1.8752195E+002
 1.8600000E+003, 7.8495425E+002, 6.1897786E+002, 3.9364771E+002, 3.1796637E+002, 2.9130915E+002, 1.8844036E+002
 1.8700000E+003, 7.8497524E+002, 6.1923128E+002, 3.9421679E+002, 3.1857527E+002, 2.9210387E+002, 1.8922523E+002
 1.8800000E+003, 7.8499961E+002, 6.1952561E+002, 3.9487798E+002, 3.1928300E+002, 2.9302645E+002, 1.9013820E+002
 1.8900000E+003, 7.8502386E+002, 6.1981854E+002, 3.9553624E+002, 3.1998789E+002, 2.9394414E+002, 1.9104826E+002
 1.9000000E+003, 7.8504455E+002, 6.2006851E+002, 3.9609816E+002, 3.2058984E+002, 2.9472688E+002, 1.9182600E+002
 1.9100000E+003, 7.8506858E+002, 6.2035887E+002, 3.9675108E+002, 3.2128955E+002, 2.9563563E+002, 1.9273069E+002
 1.9200000E+003, 7.8509250E+002, 6.2064788E+002, 3.9740117E+002, 3.2198650E+002, 2.9653965E+002, 1.9363252E+002
 1.9300000E+003, 7.8511290E+002, 6.2089454E+002, 3.9795615E+002, 3.2258173E+002, 2.9731081E+002, 1.9440324E+002
 1.9400000E+003, 7.8513661E+002, 6.2118108E+002, 3.9860106E+002, 3.2327366E+002, 2.9820620E+002, 1.9529979E+002
 1.9500000E+003, 7.8516020E+002, 6.2146632E+002, 3.9924323E+002, 3.2396293E+002, 2.9909702E+002, 1.9619351E+002
