t,001_N_ITERATIONS( 0.0050_ 0.0000_ 0.0000),002_TEMPERATURE( 0.0000_ 0.0000_ 0.0000),003_TEMPERATURE( 0.0080_ 0.0000_ 0.0000),004_TEMPERATURE( 0.0160_ 0.0000_ 0.0000),005_TEMPERATURE( 0.0400_ 0.0000_ 0.0000),
       108.0000,        1.0000000,       93.2693081,       39.8624715,       28.0304042,       26.8500076,
       109.0000,        1.0000000,       93.5761034,       40.0427844,       28.0670171,       26.8500087,
       110.0000,        1.0000000,       93.8814946,       40.2231455,       28.1041768,       26.8500099,
       111.0000,        1.0000000,       94.1855008,       40.4035463,       28.1418798,       26.8500112,
       112.0000,        1.0000000,       94.4881406,       40.5839789,       28.1801226,       26.8500127,
       113.0000,        1.0000000,       94.7894323,       40.7644355,       28.2189014,       26.8500143,
       114.0000,        1.0000000,       95.0893937,       40.9449086,       28.2582127,       26.8500162,
       115.0000,        1.0000000,       95.3880423,       41.1253910,       28.2980527,       26.8500182,
       116.0000,        1.0000000,       95.6853953,       41.3058756,       28.3384177,       26.8500205,
       117.0000,        1.0000000,       95.9814692,       41.4863559,       28.3793039,       26.8500230,
       118.0000,        1.0000000,       96.2762806,       41.6668251,       28.4207075,       26.8500258,
       119.0000,        1.0000000,       96.5698453,       41.8472771,       28.4626246,       26.8500289,
       120.0000,        1.0000000,       96.8621791,       42.0277058,       28.5050513,       26.8500323,
       121.0000,        1.0000000,       97.1532973,       42.2081053,       28.5479837,       26.8500360,
       122.0000,        1.0000000,       97.4432151,       42.3884698,       28.5914180,       26.8500401,
       123.0000,        1.0000000,       97.7319470,       42.5687940,       28.6353500,       26.8500446,
       124.0000,        1.0000000,       98.0195075,       42.7490725,       28.6797760,       26.8500496,
       125.0000,        1.0000000,       98.3059109,       42.9293003,       28.7246919,       26.8500549,
       126.0000,        1.0000000,       98.5911708,       43.1094723,       28.7700938,       26.8500608,
       127.0000,        1.0000000,       98.8753010,       43.2895838,       28.8159776,       26.8500673,
       128.0000,        1.0000000,       99.1583147,       43.4696302,       28.8623393,       26.8500742,
       129.0000,        1.0000000,       99.4402251,       43.6496070,       28.9091750,       26.8500819,
       130.0000,        1.0000000,       99.7210448,       43.8295099,       28.9564806,       26.8500901,
       131.0000,        1.0000000,      100.0007865,       44.0093348,       29.0042521,       26.8500991,
       132.0000,        1.0000000,      100.2794625,       44.1890777,       29.0524856,       26.8501088,
       133.0000,        1.0000000,      100.5570848,       44.3687346,       29.1011770,       26.8501193,
       134.0000,        1.0000000,      100.8336654,       44.5483018,       29.1503223,       26.8501306,
       135.0000,        1.0000000,      101.1092159,       44.7277757,       29.1999175,       26.8501429,
       136.0000,        1.0000000,      101.3837476,       44.9071529,       29.2499587,       26.8501561,
       137.0000,        1.0000000,      101.6572719,       45.0864298,       29.3004418,       26.8501703,
       138.0000,        1.0000000,      101.9297997,       45.2656033,       29.3513629,       26.8501856,
       139.0000,        1.0000000,      102.2013419,       45.4446702,       29.4027181,       26.8502021,
       140.0000,        1.0000000,      102.4719090,       45.6236275,       29.4545034,       26.8502197,
       141.0000,        1.0000000,      102.7415115,       45.8024722,       29.5067148,       26.8502387,
       142.0000,        1.0000000,      103.0101596,       45.9812015,       29.5593486,       26.8502589,
       143.0000,        1.0000000,      103.2778634,       46.1598127,       29.6124007,       26.8502807,
       144.0000,        1.0000000,      103.5446328,       46.3383031,       29.6658672,       26.8503039,
       145.0000,        1.0000000,      103.8104775,       46.5166701,       29.7197444,       26.8503287,
       146.0000,        1.0000000,      104.0754070,       46.6949114,       29.7740284,       26.8503551,
       147.0000,        1.0000000,      104.3394308,       46.8730245,       29.8287153,       26.8503833,
       148.0000,        1.0000000,      104.6025580,       47.0510071,       29.8838014,       26.8504134,
       149.0000,        1.0000000,      104.8647978,       47.2288571,       29.9392828,       26.8504454,
       150.0000,        1.0000000,      105.1261590,       47.4065723,       29.9951558,       26.8504794,
       151.0000,        1.0000000,      105.3866504,       47.5841506,       30.0514167,       26.8505156,
       152.0000,        1.0000000,      105.6462807,       47.7615901,       30.1080617,       26.8505539,
       153.0000,        1.0000000,      105.9050583,       47.9388889,       30.1650870,       26.8505946,
       154.0000,        1.0000000,      106.1629916,       48.1160450,       30.2224892,       26.8506378,
       155.0000,        1.0000000,      106.4200888,       48.2930568,       30.2802644,       26.8506835,
       156.0000,        1.0000000,      106.6763580,       48.4699226,       30.3384091,       26.8507319,
       157.0000,        1.0000000,      106.9318071,       48.6466406,       30.3969197,       26.8507831,
       158.0000,        1.0000000,      107.1864439,       48.8232093,       30.4557925,       26.8508371,
       159.0000,        1.0000000,      107.4402762,       48.9996272,       30.5150240,       26.8508942,
       160.0000,        1.0000000,      107.6933115,       49.1758929,       30.5746108,       26.8509545,
       161.0000,        1.0000000,      107.9455573,       49.3520048,       30.6345492,       26.8510180,
       162.0000,        1.0000000,      108.1970208,       49.5279616,       30.6948358,       26.8510850,
       163.0000,        1.0000000,      108.4477095,       49.7037621,       30.7554671,       26.8511555,
       164.0000,        1.0000000,      108.6976303,       49.8794049,       30.8164398,       26.8512298,
       165.0000,        1.0000000,      108.9467903,       50.0548889,       30.8777504,       26.8513078,
       166.0000,        1.0000000,      109.1951965,       50.2302129,       30.9393955,       26.8513899,
       167.0000,        1.0000000,      109.4428555,       50.4053758,       31.0013718,       26.8514761,
       168.0000,        1.0000000,      109.6897741,       50.5803765,       31.0636760,       26.8515666,
       169.0000,        1.0000000,      109.9359589,       50.7552140,       31.1263047,       26.8516616,
       170.0000,        1.0000000,      110.1814164,       50.9298873,       31.1892548,       26.8517612,
       171.0000,        1.0000000,      110.4261530,       51.1043955,       31.2525228,       26.8518656,
       172.0000,        1.0000000,      110.6701751,       51.2787377,       31.3161058,       26.8519749,
       173.0000,        1.0000000,      110.9134888,       51.4529129,       31.3800003,       26.8520893,
       174.0000,        1.0000000,      111.1561002,       51.6269205,       31.4442034,       26.8522091,
       175.0000,        1.0000000,      111.3980155,       51.8007595,       31.5087118,       26.8523343,
       176.0000,        1.0000000,      111.6392406,       51.9744293,       31.5735224,       26.8524651,
       177.0000,        1.0000000,      111.8797814,       52.1479291,       31.6386322,       26.8526018,
       178.0000,        1.0000000,      112.1196436,       52.3212582,       31.7040381,       26.8527446,
       179.0000,        1.0000000,      112.3588329,       52.4944159,       31.7697370,       26.8528936,
       180.0000,        1.0000000,      112.5973551,       52.6674018,       31.8357260,       26.8530489,
       181.0000,        1.0000000,      112.8352156,       52.8402150,       31.9020021,       26.8532109,
       182.0000,        1.0000000,      113.0724199,       53.0128552,       31.9685624,       26.8533797,
       183.0000,        1.0000000,      113.3089735,       53.1853217,       32.0354038,       26.8535556,
       184.0000,        1.0000000,      113.5448815,       53.3576141,       32.1025235,       26.8537386,
       185.0000,        1.0000000,      113.7801494,       53.5297318,       32.1699187,       26.8539291,
       186.0000,        1.0000000,      114.0147823,       53.7016744,       32.2375865,       26.8541273,
       187.0000,        1.0000000,      114.2487853,       53.8734416,       32.3055240,       26.8543333,
       188.0000,        1.0000000,      114.4821634,       54.0450327,       32.3737285,       26.8545474,
       189.0000,        1.0000000,      114.7149217,       54.2164476,       32.4421973,       26.8547698,
       190.0000,        1.0000000,      114.9470650,       54.3876858,       32.5109275,       26.8550008,
       191.0000,        1.0000000,      115.1785981,       54.5587470,       32.5799164,       26.8552406,
       192.0000,        1.0000000,      115.4095260,       54.7296309,       32.6491614,       26.8554893,
       193.0000,        1.0000000,      115.6398532,       54.9003372,       32.7186598,       26.8557473,
       194.0000,        1.0000000,      115.8695846,       55.0708656,       32.7884090,       26.8560148,
       195.0000,        1.0000000,      116.0987245,       55.2412159,       32.8584063,       26.8562920,
       196.0000,        1.0000000,      116.3272777,       55.4113878,       32.9286491,       26.8565792,
       197.0000,        1.0000000,      116.5552486,       55.5813812,       32.9991349,       26.8568766,
       198.0000,        1.0000000,      116.7826415,       55.7511957,       33.0698611,       26.8571844,
       199.0000,        1.0000000,      117.0094610,       55.9208314,       33.1408252,       26.8575030,
       200.0000,        1.0000000,      117.2357113,       56.0902879,       33.2120247,       26.8578325,
       201.0000,        1.0000000,      117.4613966,       56.2595651,       33.2834572,       26.8581733,
       202.0000,        1.0000000,      117.6865212,       56.4286630,       33.3551201,       26.8585256,
       203.0000,        1.0000000,      117.9110893,       56.5975814,       33.4270111,       26.8588896,
       204.0000,        1.0000000,      118.1351049,       56.7663202,       33.4991278,       26.8592657,
       205.0000,        1.0000000,      118.3585722,       56.9348793,       33.5714678,       26.8596541,
       206.0000,        1.0000000,      118.5814950,       57.1032588,       33.6440287,       26.8600550,
       207.0000,        1.0000000,      118.8038774,       57.2714584,       33.7168082,       26.8604688,
       208.0000,        1.0000000,      119.0257233,       57.4394782,       33.7898040,       26.8608956,
       209.0000,        1.0000000,      119.2470365,       57.6073181,       33.8630138,       26.8613359,
       210.0000,        1.0000000,      119.4678209,       57.7749782,       33.9364353,       26.8617899,
       211.0000,        1.0000000,      119.6880803,       57.9424585,       34.0100663,       26.8622578,
       212.0000,        1.0000000,      119.9078183,       58.1097588,       34.0839046,       26.8627400,
       213.0000,        1.0000000,      120.1270386,       58.2768794,       34.1579480,       26.8632367,
       214.0000,        1.0000000,      120.3457450,       58.4438202,       34.2321943,       26.8637483,
       215.0000,        1.0000000,      120.5639409,       58.6105812,       34.3066413,       26.8642749,
       216.0000,        1.0000000,      120.7816300,       58.7771625,       34.3812869,       26.8648170,
       217.0000,        1.0000000,      120.9988158,       58.9435642,       34.4561291,       26.8653748,
       218.0000,        1.0000000,      121.2155017,       59.1097864,       34.5311656,       26.8659486,
       219.0000,        1.0000000,      121.4316912,       59.2758291,       34.6063944,       26.8665387,
       220.0000,        1.0000000,      121.6473876,       59.4416925,       34.6818135,       26.8671454,
       221.0000,        1.0000000,      121.8625944,       59.6073766,       34.7574209,       26.8677690,
       222.0000,        1.0000000,      122.0773148,       59.7728816,       34.8332145,       26.8684099,
       223.0000,        1.0000000,      122.2915522,       59.9382075,       34.9091923,       26.8690683,
       224.0000,        1.0000000,      122.5053097,       60.1033546,       34.9853524,       26.8697445,
       225.0000,        1.0000000,      122.7185907,       60.2683230,       35.0616928,       26.8704389,
       226.0000,        1.0000000,      122.9313981,       60.4331127,       35.1382116,       26.8711517,
       227.0000,        1.0000000,      123.1437353,       60.5977240,       35.2149068,       26.8718833,
       228.0000,        1.0000000,      123.3556053,       60.7621571,       35.2917767,       26.8726340,
       229.0000,        1.0000000,      123.5670112,       60.9264120,       35.3688192,       26.8734042,
       230.0000,        1.0000000,      123.7779560,       61.0904891,       35.4460325,       26.8741940,
       231.0000,        1.0000000,      123.9884427,       61.2543884,       35.5234148,       26.8750039,
       232.0000,        1.0000000,      124.1984742,       61.4181101,       35.6009644,       26.8758342,
       233.0000,        1.0000000,      124.4080537,       61.5816545,       35.6786792,       26.8766852,
       234.0000,        1.0000000,      124.6171838,       61.7450218,       35.7565577,       26.8775571,
       235.0000,        1.0000000,      124.8258676,       61.9082121,       35.8345980,       26.8784505,
       236.0000,        1.0000000,      125.0341078,       62.0712257,       35.9127983,       26.8793655,
       237.0000,        1.0000000,      125.2419073,       62.2340628,       35.9911570,       26.8803025,
       238.0000,        1.0000000,      125.4492688,       62.3967237,       36.0696723,       26.8812618,
       239.0000,        1.0000000,      125.6561952,       62.5592085,       36.1483425,       26.8822438,
       240.0000,        1.0000000,      125.8626891,       62.7215175,       36.2271660,       26.8832487,
       241.0000,        1.0000000,      126.0687532,       62.8836509,       36.3061410,       26.8842770,
       242.0000,        1.0000000,      126.2743903,       63.0456090,       36.3852659,       26.8853289,
       243.0000,        1.0000000,      126.4796029,       63.2073921,       36.4645392,       26.8864048,
       244.0000,        1.0000000,      126.6843938,       63.3690004,       36.5439591,       26.8875050,
       245.0000,        1.0000000,      126.8887653,       63.5304341,       36.6235241,       26.8886299,
       246.0000,        1.0000000,      127.0927203,       63.6916936,       36.7032326,       26.8897798,
       247.0000,        1.0000000,      127.2962611,       63.8527791,       36.7830830,       26.8909549,
       248.0000,        1.0000000,      127.4993902,       64.0136908,       36.8630738,       26.8921558,
       249.0000,        1.0000000,      127.7021103,       64.1744290,       36.9432034,       26.8933826,
       250.0000,        1.0000000,      127.9044237,       64.3349941,       37.0234704,       26.8946358,
       251.0000,        1.0000000,      128.1063328,       64.4953863,       37.1038731,       26.8959156,
       252.0000,        1.0000000,      128.3078402,       64.6556059,       37.1844102,       26.8972224,
       253.0000,        1.0000000,      128.5089481,       64.8156531,       37.2650801,       26.8985566,
       254.0000,        1.0000000,      128.7096590,       64.9755284,       37.3458814,       26.8999185,
       255.0000,        1.0000000,      128.9099751,       65.1352319,       37.4268126,       26.9013084,
       256.0000,        1.0000000,      129.1098989,       65.2947640,       37.5078723,       26.9027266,
       257.0000,        1.0000000,      129.3094325,       65.4541250,       37.5890590,       26.9041736,
       258.0000,        1.0000000,      129.5085783,       65.6133151,       37.6703715,       26.9056496,
       259.0000,        1.0000000,      129.7073386,       65.7723347,       37.7518082,       26.9071550,
       260.0000,        1.0000000,      129.9057155,       65.9311842,       37.8333678,       26.9086901,
       261.0000,        1.0000000,      130.1037113,       66.0898637,       37.9150490,       26.9102553,
       262.0000,        1.0000000,      130.3013281,       66.2483737,       37.9968503,       26.9118509,
       263.0000,        1.0000000,      130.4985682,       66.4067144,       38.0787705,       26.9134772,
       264.0000,        1.0000000,      130.6954336,       66.5648862,       38.1608082,       26.9151346,
