t,001_TEMPERATURE( 0.0000_ 0.0000_ 0.0000),002_THERMAL_CONDUCTIVITY_Z( 0.0000_ 0.0000_ 0.0000),003_SPECIFIC_HEAT_CAPACITY( 0.0000_ 0.0000_ 0.0000),004_SOLID_DENSITY( 0.0000_ 0.0000_ 0.0000),005_BULK_DENSITY( 0.0000_ 0.0000_ 0.0000),
      1190.0000,     1216.8500000,        0.3504715,     2506.9819222,     1600.0000000,     1430.0000000,
      1200.0000,     1226.8500000,        0.3512930,     2512.0177249,     1600.0000000,     1430.0000000,
      1210.0000,     1236.8500000,        0.3521109,     2517.0300817,     1600.0000000,     1430.0000000,
      1220.0000,     1246.8500000,        0.3529253,     2522.0192559,     1600.0000000,     1430.0000000,
      1230.0000,     1256.8500000,        0.3537362,     2526.9855063,     1600.0000000,     1430.0000000,
      1240.0000,     1266.8500000,        0.3545437,     2531.9290870,     1600.0000000,     1430.0000000,
      1250.0000,     1276.8500000,        0.3553478,     2536.8502476,     1600.0000000,     1430.0000000,
      1260.0000,     1286.8500000,        0.3561485,     2541.7492335,     1600.0000000,     1430.0000000,
      1270.0000,     1296.8500000,        0.3569459,     2546.6262858,     1600.0000000,     1430.0000000,
      1280.0000,     1306.8500000,        0.3577400,     2551.4816416,     1600.0000000,     1430.0000000,
      1290.0000,     1316.8500000,        0.3585309,     2556.3155336,     1600.0000000,     1430.0000000,
      1300.0000,     1326.8500000,        0.3593185,     2561.1281910,     1600.0000000,     1430.0000000,
      1310.0000,     1336.8500000,        0.3601029,     2565.9198387,     1600.0000000,     1430.0000000,
      1320.0000,     1346.8500000,        0.3608842,     2570.6906983,     1600.0000000,     1430.0000000,
      1330.0000,     1356.8500000,        0.3616623,     2575.4409873,     1600.0000000,     1430.0000000,
      1340.0000,     1366.8500000,        0.3624373,     2580.1709199,     1600.0000000,     1430.0000000,
      1350.0000,     1376.8500000,        0.3632093,     2584.8807067,     1600.0000000,     1430.0000000,
      1360.0000,     1386.8500000,        0.3639782,     2589.5705546,     1600.0000000,     1430.0000000,
      1370.0000,     1396.8500000,        0.3647441,     2594.2406676,     1600.0000000,     1430.0000000,
      1380.0000,     1406.8500000,        0.3655071,     2598.8912461,     1600.0000000,     1430.0000000,
      1390.0000,     1416.8500000,        0.3662671,     2603.5224873,     1600.0000000,     1430.0000000,
      1400.0000,     1426.8500000,        0.3670242,     2608.1345854,     1600.0000000,     1430.0000000,
      1410.0000,     1436.8500000,        0.3677784,     2612.7277313,     1600.0000000,     1430.0000000,
      1420.0000,     1446.8500000,        0.3685297,     2617.3021133,     1600.0000000,     1430.0000000,
      1430.0000,     1456.8500000,        0.3692782,     2621.8579162,     1600.0000000,     1430.0000000,
      1440.0000,     1466.8500000,        0.3700239,     2626.3953224,     1600.0000000,     1430.0000000,
      1450.0000,     1476.8500000,        0.3707668,     2630.9145111,     1600.0000000,     1430.0000000,
      1460.0000,     1486.8500000,        0.3715070,     2635.4156591,     1600.0000000,     1430.0000000,
      1470.0000,     1496.8500000,        0.3722444,     2639.8989402,     1600.0000000,     1430.0000000,
      1480.0000,     1506.8500000,        0.3729792,     2644.3645257,     1600.0000000,     1430.0000000,
      1490.0000,     1516.8500000,        0.3737112,     2648.8125843,     1600.0000000,     1430.0000000,
      1500.0000,     1526.8500000,        0.3744406,     2653.2432821,     1600.0000000,     1430.0000000,
