Time (s),Depth 0.0 cm,Depth 0.8 cm,Depth 1.6 cm,Depth 4.0 cm
183.22147651006713,113.51186678393829,53.37365460726259,32.199990410892,27.00179413357483
185.2348993288591,113.98590795865611,53.720298522486736,32.33553702356318,27.001983643076702
187.24832214765104,114.45737974774747,54.06623216826372,32.47218604121481,27.00218876149169
189.26174496644296,114.92632348330967,54.411452187182725,32.60991459985075,27.002410386151794
191.2751677852349,115.39277940104341,54.75595561189468,32.748700257024964,27.002649439964237
193.28859060402687,115.8567866805425,55.09973984257058,32.888520987440494,27.002906870933938
195.30201342281882,116.31838348370032,55.44280262568483,33.029355178240465,27.003183651650797
197.31543624161077,116.77760699133864,55.78514203403796,33.17118162403112,27.003480778744283
199.3288590604027,117.23449343815906,56.126756447940856,33.3139795216736,27.00379927230753
201.34228187919464,117.68907814610908,56.46764453748575,33.45772846487738,27.004140175293344
203.3557046979866,118.14139555625088,56.80780524583732,33.60240843862624,27.004504552884402
205.36912751677855,118.59147925921332,57.14723777347898,33.747999813463764,27.004893491839905
207.3825503355705,119.03936202430357,57.48594156335573,33.89448333966355,27.005308099820905
209.39597315436242,119.48507582735023,57.82391628685873,34.041840141306814,27.00574950469652
211.40939597315437,119.92865187734424,58.16116183059931,34.19005171028789,27.006218853833126
213.42281879194633,120.37012064194063,58.49767828392502,34.339099900266135,27.006717313368615
215.43624161073828,120.80951187188033,58.83346592713265,34.48896692058124,27.007246067473723
217.44966442953023,121.24685462438715,59.16852522033665,34.63963533014678,27.007806317602384
219.46308724832218,121.68217728559202,59.502856792953295,34.791088031335974,27.008399281732906
221.4765100671141,122.11550759203354,59.836461433764725,34.943308263871685,27.00902619360189
223.48993288590606,122.54687265128095,60.16934008152797,35.0962795987319,27.00968830193248
225.503355704698,122.97629896172289,60.50149381609784,35.24998593208043,27.0103868696587
227.51677852348996,123.4038124315627,60.83292385003279,35.40441147923178,27.011123173147364
229.5302013422819,123.82943839705894,61.16363152065653,35.55954076865761,27.01189850141912
231.54362416107384,124.25320164004752,61.49361828254859,35.71535863604271,27.01271415536999
233.5570469798658,124.6751264047795,61.82288570043985,35.871850218395636,27.01357144699479
235.57046979865774,125.0952364141071,62.15143544248887,36.029000948219874,27.014471698613644
237.5838926174497,125.51355488504856,62.479269273918966,36.18679654775094,27.015416242102848
239.59731543624164,125.93010454376052,62.80638905099414,36.34522302326198,27.016406418131133
241.6107382550336,126.34490763994548,63.13279671531588,36.50426665944359,27.01744357540241
243.62416107382552,126.75798596071999,63.45849428842253,36.663914013859106,27.018529069905973
245.63758389261747,127.16936084396825,63.78348386667448,36.82415191147898,27.01966426417501
247.65100671140942,127.57905319120393,64.10776761640926,36.9849674392963,27.020850526554362
249.66442953020137,127.98708347996264,64.43134776935199,37.14634794102537,27.02208923047818
251.67785234899333,128.39347177574527,64.75422661826681,37.30828101188441,27.023381753758294
253.69127516778525,128.79823774353247,65.0764065128367,37.47075449346417,27.024729477883884
255.7046979865772,129.2014006588886,65.39788985575863,37.63375646868288,27.026133787333052
257.71812080536915,129.60297941867276,65.718679099043,37.797275256828584,27.027596068896855
259.7315436241611,130.0029925513744,66.03877674050611,37.96129940868865,27.029117711016244
261.74496644295306,130.40145822708888,66.35818532044547,38.12581770176757,27.03070010313238
263.758389261745,130.79839426714807,66.67690741848799,38.29081913559207,27.03234463505066
265.77181208053696,131.19381815342132,66.99494565060225,38.45629292710413,27.03405269631884
267.7852348993289,131.58774703729944,67.31230266626574,38.62222850614122,27.03582567561949
269.7986577181208,131.98019774837562,67.62898114577943,38.78861551100342,27.03766496017705
271.8120805369128,132.37118680283504,67.94498379772142,38.95544378410672,27.039571935179737
273.8255033557047,132.76073041156565,68.2603133565328,39.12270336772212,27.041547983216375
275.8389261744967,133.1488444880008,68.57497258022893,39.290384499799394,27.04359448372838
277.8523489932886,133.53554465570488,68.88896424822892,39.458477609874826,27.04571281247692
279.86577181208054,133.92084625571198,69.2022911592984,39.626973315062244,27.04790434102538
281.8791946308725,134.30476435362743,69.5149561295986,39.79586241612578,27.050170436237117
283.89261744966444,134.68731374650136,69.82696199083703,39.96513589363357,27.052512459788538
285.9060402684564,135.0685089694835,70.1383115885145,40.134784904192,27.05493176769749
287.91946308724835,135.44836430226712,70.44900778026292,40.30480077675753,27.057429709866902
289.93288590604027,135.82689377533092,70.75905343427043,40.47517500902724,27.06000762964361
291.94630872483225,136.20411117598582,71.0684514277884,40.645899263904916,27.06266686339232
293.9597315436242,136.58003005423467,71.37720464571674,40.81696536604262,27.06540874008454
295.97315436241615,136.9546637284517,71.68531597926344,40.98836529845594,27.068234580902388
297.9865771812081,137.32802529088792,71.99278832467454,41.16009119921191,27.071145698857183
300.0,137.70012761301007,72.29962458203127,41.3321353581881,27.07414339842255
