t,001_MLR( 0.0000_ 0.0000_ 0.0000),
       396.1450,        6.3903448,
       397.1455,        6.3248729,
       398.1460,        6.2565216,
       399.1465,        6.1850557,
       400.1470,        6.1102134,
       401.1475,        6.0317024,
       402.1480,        5.9491950,
       403.1485,        5.8623234,
       404.1490,        5.7706733,
       405.1495,        5.6737766,
       406.1500,        5.5711030,
       407.1505,        5.4620502,
       408.1510,        5.3459323,
       409.1515,        5.2219667,
       410.1520,        5.0892585,
       411.1525,        4.9467837,
       412.1530,        4.7933707,
       413.1535,        4.6276810,
       414.1540,        4.4481921,
       415.1545,        4.2531864,
       416.1550,        4.0407529,
       417.1555,        3.8088180,
       418.1560,        3.5552624,
       419.1565,        3.2779633,
       420.1570,        2.9752849,
       421.1575,        2.6465850,
       422.1580,        2.2931505,
       423.1585,        1.9195979,
       424.1590,        1.5356163,
       425.1595,        1.1574471,
       426.1600,        0.8077667,
       427.1605,        0.5115932,
       428.1610,        0.2880571,
       429.1615,        0.1415930,
       430.1620,        0.0599529,
       431.1625,        0.0216955,
       432.1630,        0.0066866,
       433.1635,        0.0017537,
       434.1640,        0.0003916,
       435.1645,        0.0000746,
       436.1650,        0.0000121,
       437.1655,        0.0000017,
       438.1660,        0.0000002,
       439.1665,        0.0000000,
       440.1670,        0.0000000,
       441.1675,        0.0000000,
       442.1680,        0.0000000,
       443.1685,        0.0000000,
       444.1690,        0.0000000,
       445.1695,        0.0000000,
       446.1700,        0.0000000,
       447.1705,        0.0000000,
       448.1710,        0.0000000,
       449.1715,        0.0000000,
       450.1720,        0.0000000,
       451.1725,        0.0000000,
       452.1730,        0.0000000,
       453.1735,        0.0000000,
       454.1740,        0.0000000,
       455.1745,        0.0000000,
       456.1750,        0.0000000,
       457.1755,        0.0000000,
       458.1760,        0.0000000,
       459.1765,        0.0000000,
       460.1770,        0.0000000,
       461.1775,        0.0000000,
       462.1780,        0.0000000,
       463.1785,        0.0000000,
       464.1790,        0.0000000,
       465.1795,        0.0000000,
       466.1800,        0.0000000,
       467.1805,        0.0000000,
       468.1810,        0.0000000,
       469.1815,        0.0000000,
       470.1820,        0.0000000,
       471.1825,        0.0000000,
       472.1830,        0.0000000,
       473.1835,        0.0000000,
       474.1840,        0.0000000,
       475.1845,        0.0000000,
       476.1850,        0.0000000,
       477.1855,        0.0000000,
       478.1860,        0.0000000,
       479.1865,        0.0000000,
       480.1870,        0.0000000,
       481.1875,        0.0000000,
       482.1880,        0.0000000,
       483.1885,        0.0000000,
       484.1890,        0.0000000,
       485.1895,        0.0000000,
       486.1900,        0.0000000,
       487.1905,        0.0000000,
       488.1910,        0.0000000,
       489.1915,        0.0000000,
       490.1920,        0.0000000,
       491.1925,        0.0000000,
       492.1930,        0.0000000,
       493.1935,        0.0000000,
       494.1940,        0.0000000,
       495.1945,        0.0000000,
       496.1950,        0.0000000,
       497.1955,        0.0000000,
       498.1960,        0.0000000,
       499.1965,        0.0000000,
       500.1970,        0.0000000,
       501.1975,        0.0000000,
       502.1980,        0.0000000,
       503.1985,        0.0000000,
       504.1990,        0.0000000,
       505.1995,        0.0000000,
       506.2000,        0.0000000,
       507.2005,        0.0000000,
       508.2010,        0.0000000,
       509.2015,        0.0000000,
       510.2020,        0.0000000,
       511.2025,        0.0000000,
       512.2030,        0.0000000,
       513.2035,        0.0000000,
       514.2040,        0.0000000,
       515.2045,        0.0000000,
       516.2050,        0.0000000,
       517.2055,        0.0000000,
       518.2060,        0.0000000,
       519.2065,        0.0000000,
       520.2070,        0.0000000,
       521.2075,        0.0000000,
       522.2080,        0.0000000,
       523.2085,        0.0000000,
       524.2090,        0.0000000,
       525.2095,        0.0000000,
       526.2100,        0.0000000,
       527.2105,        0.0000000,
       528.2110,        0.0000000,
       529.2115,        0.0000000,
       530.2120,        0.0000000,
       531.2125,        0.0000000,
       532.2130,        0.0000000,
       533.2135,        0.0000000,
       534.2140,        0.0000000,
       535.2145,        0.0000000,
       536.2150,        0.0000000,
       537.2155,        0.0000000,
       538.2160,        0.0000000,
       539.2165,        0.0000000,
       540.2170,        0.0000000,
       541.2175,        0.0000000,
       542.2180,        0.0000000,
       543.2185,        0.0000000,
       544.2190,        0.0000000,
       545.2195,        0.0000000,
       546.2200,        0.0000000,
       547.2205,        0.0000000,
       548.2210,        0.0000000,
       549.2215,        0.0000000,
       550.2220,        0.0000000,
       551.2225,        0.0000000,
       552.2230,        0.0000000,
       553.2235,        0.0000000,
       554.2240,        0.0000000,
