s,C,C,C
Time,"Front","Back","gaz_temp"
 3.6800000E+003, 4.8009350E+001, 1.1927891E+002,-2.7314999E+002
 3.6900000E+003, 4.7868866E+001, 1.1900861E+002,-2.7314999E+002
 3.7100000E+003, 4.7588421E+001, 1.1846954E+002,-2.7314999E+002
 3.7300000E+003, 4.7308678E+001, 1.1793251E+002,-2.7314999E+002
 3.7500000E+003, 4.7029636E+001, 1.1739748E+002,-2.7314999E+002
 3.7700000E+003, 4.6751293E+001, 1.1686446E+002,-2.7314999E+002
 3.7800000E+003, 4.6612381E+001, 1.1659870E+002,-2.7314999E+002
 3.8000000E+003, 4.6335075E+001, 1.1606867E+002,-2.7314999E+002
 3.8200000E+003, 4.6058456E+001, 1.1554063E+002,-2.7314999E+002
 3.8400000E+003, 4.5782528E+001, 1.1501454E+002,-2.7314999E+002
 3.8600000E+003, 4.5507282E+001, 1.1449043E+002,-2.7314999E+002
 3.8700000E+003, 4.5369915E+001, 1.1422910E+002,-2.7314999E+002
 3.8900000E+003, 4.5095688E+001, 1.1370789E+002,-2.7314999E+002
 3.9100000E+003, 4.4822140E+001, 1.1318863E+002,-2.7314999E+002
 3.9300000E+003, 4.4549263E+001, 1.1267129E+002,-2.7314999E+002
 3.9500000E+003, 4.4277061E+001, 1.1215586E+002,-2.7314999E+002
 3.9600000E+003, 4.4141212E+001, 1.1189886E+002,-2.7314999E+002
 3.9800000E+003, 4.3870010E+001, 1.1138630E+002,-2.7314999E+002
 4.0000000E+003, 4.3599476E+001, 1.1087562E+002,-2.7314999E+002
 4.0200000E+003, 4.3329601E+001, 1.1036682E+002,-2.7314999E+002
 4.0400000E+003, 4.3060387E+001, 1.0985990E+002,-2.7314999E+002
 4.0500000E+003, 4.2926025E+001, 1.0960714E+002,-2.7314999E+002
 4.0700000E+003, 4.2657799E+001, 1.0910300E+002,-2.7314999E+002
 4.0900000E+003, 4.2390224E+001, 1.0860072E+002,-2.7314999E+002
 4.1100000E+003, 4.2123299E+001, 1.0810027E+002,-2.7314999E+002
 4.1300000E+003, 4.1857025E+001, 1.0760165E+002,-2.7314999E+002
 4.1400000E+003, 4.1724129E+001, 1.0735303E+002,-2.7314999E+002
 4.1600000E+003, 4.1458824E+001, 1.0685713E+002,-2.7314999E+002
 4.1800000E+003, 4.1194160E+001, 1.0636304E+002,-2.7314999E+002
 4.2000000E+003, 4.0930134E+001, 1.0587076E+002,-2.7314999E+002
 4.2200000E+003, 4.0666752E+001, 1.0538026E+002,-2.7314999E+002
 4.2300000E+003, 4.0535297E+001, 1.0513567E+002,-2.7314999E+002
 4.2500000E+003, 4.0272861E+001, 1.0464784E+002,-2.7314999E+002
 4.2700000E+003, 4.0011063E+001, 1.0416177E+002,-2.7314999E+002
 4.2900000E+003, 3.9749893E+001, 1.0367746E+002,-2.7314999E+002
 4.3100000E+003, 3.9489349E+001, 1.0319489E+002,-2.7314999E+002
 4.3200000E+003, 3.9359314E+001, 1.0295426E+002,-2.7314999E+002
 4.3400000E+003, 3.9099709E+001, 1.0247430E+002,-2.7314999E+002
 4.3600000E+003, 3.8840725E+001, 1.0199606E+002,-2.7314999E+002
 4.3800000E+003, 3.8582359E+001, 1.0151954E+002,-2.7314999E+002
 4.4000000E+003, 3.8324615E+001, 1.0104472E+002,-2.7314999E+002
 4.4100000E+003, 3.8195972E+001, 1.0080795E+002,-2.7314999E+002
 4.4300000E+003, 3.7939148E+001, 1.0033569E+002,-2.7314999E+002
 4.4500000E+003, 3.7682938E+001, 9.9865097E+001,-2.7314999E+002
 4.4700000E+003, 3.7427338E+001, 9.9396194E+001,-2.7314999E+002
 4.4900000E+003, 3.7172344E+001, 9.8928955E+001,-2.7314999E+002
 4.5000000E+003, 3.7045074E+001, 9.8695961E+001,-2.7314999E+002
 4.5200000E+003, 3.6790989E+001, 9.8231216E+001,-2.7314999E+002
 4.5400000E+003, 3.6537510E+001, 9.7768112E+001,-2.7314999E+002
 4.5600000E+003, 3.6284626E+001, 9.7306648E+001,-2.7314999E+002
 4.5800000E+003, 3.6032345E+001, 9.6846817E+001,-2.7314999E+002
 4.5900000E+003, 3.5906429E+001, 9.6617516E+001,-2.7314999E+002
 4.6100000E+003, 3.5655041E+001, 9.6160110E+001,-2.7314999E+002
 4.6300000E+003, 3.5404243E+001, 9.5704323E+001,-2.7314999E+002
 4.6500000E+003, 3.5154041E+001, 9.5250137E+001,-2.7314999E+002
 4.6700000E+003, 3.4904427E+001, 9.4797546E+001,-2.7314999E+002
 4.6800000E+003, 3.4779842E+001, 9.4571846E+001,-2.7314999E+002
 4.7000000E+003, 3.4531109E+001, 9.4121635E+001,-2.7314999E+002
 4.7200000E+003, 3.4282959E+001, 9.3672989E+001,-2.7314999E+002
 4.7400000E+003, 3.4035393E+001, 9.3225914E+001,-2.7314999E+002
 4.7600000E+003, 3.3788406E+001, 9.2780403E+001,-2.7314999E+002
 4.7700000E+003, 3.3665131E+001, 9.2558228E+001,-2.7314999E+002
 4.7900000E+003, 3.3419014E+001, 9.2115036E+001,-2.7314999E+002
 4.8100000E+003, 3.3173470E+001, 9.1673378E+001,-2.7314999E+002
 4.8300000E+003, 3.2928501E+001, 9.1233261E+001,-2.7314999E+002
 4.8500000E+003, 3.2684105E+001, 9.0794662E+001,-2.7314999E+002
 4.8600000E+003, 3.2562122E+001, 9.0575935E+001,-2.7314999E+002
 4.8800000E+003, 3.2318577E+001, 9.0139603E+001,-2.7314999E+002
 4.9000000E+003, 3.2075603E+001, 8.9704788E+001,-2.7314999E+002
 4.9200000E+003, 3.1833193E+001, 8.9271461E+001,-2.7314999E+002
 4.9400000E+003, 3.1591345E+001, 8.8839630E+001,-2.7314999E+002
 4.9500000E+003, 3.1470633E+001, 8.8624268E+001,-2.7314999E+002
 4.9700000E+003, 3.1229626E+001, 8.8194656E+001,-2.7314999E+002
 4.9900000E+003, 3.0989180E+001, 8.7766510E+001,-2.7314999E+002
 5.0100000E+003, 3.0749289E+001, 8.7339836E+001,-2.7314999E+002
 5.0300000E+003, 3.0509954E+001, 8.6914612E+001,-2.7314999E+002
 5.0400000E+003, 3.0390495E+001, 8.6702545E+001,-2.7314999E+002
 5.0600000E+003, 3.0151989E+001, 8.6279503E+001,-2.7314999E+002
 5.0800000E+003, 2.9914034E+001, 8.5857887E+001,-2.7314999E+002
 5.1000000E+003, 2.9676626E+001, 8.5437714E+001,-2.7314999E+002
 5.1200000E+003, 2.9439766E+001, 8.5018959E+001,-2.7314999E+002
 5.1300000E+003, 2.9321541E+001, 8.4810112E+001,-2.7314999E+002
 5.1500000E+003, 2.9085497E+001, 8.4393486E+001,-2.7314999E+002
 5.1700000E+003, 2.8849997E+001, 8.3978264E+001,-2.7314999E+002
 5.1900000E+003, 2.8615036E+001, 8.3564438E+001,-2.7314999E+002
 5.2100000E+003, 2.8380615E+001, 8.3152016E+001,-2.7314999E+002
 5.2200000E+003, 2.8263607E+001, 8.2946320E+001,-2.7314999E+002
 5.2400000E+003, 2.8029989E+001, 8.2535965E+001,-2.7314999E+002
 5.2600000E+003, 2.7796907E+001, 8.2126991E+001,-2.7314999E+002
 5.2800000E+003, 2.7564360E+001, 8.1719391E+001,-2.7314999E+002
 5.3000000E+003, 2.7332340E+001, 8.1313148E+001,-2.7314999E+002
 5.3100000E+003, 2.7216530E+001, 8.1110535E+001,-2.7314999E+002
 5.3300000E+003, 2.6985306E+001, 8.0706322E+001,-2.7314999E+002
 5.3500000E+003, 2.6754606E+001, 8.0303459E+001,-2.7314999E+002
 5.3700000E+003, 2.6524433E+001, 7.9901939E+001,-2.7314999E+002
 5.3900000E+003, 2.6294785E+001, 7.9501747E+001,-2.7314999E+002
 5.4000000E+003, 2.6180155E+001, 7.9302147E+001,-2.7314999E+002
 5.4200000E+003, 2.5951286E+001, 7.8903946E+001,-2.7314999E+002
 5.4400000E+003, 2.5722937E+001, 7.8507057E+001,-2.7314999E+002
 5.4600000E+003, 2.5495106E+001, 7.8111488E+001,-2.7314999E+002
 5.4800000E+003, 2.5267790E+001, 7.7717216E+001,-2.7314999E+002
 5.4900000E+003, 2.5154324E+001, 7.7520569E+001,-2.7314999E+002
 5.5100000E+003, 2.4927778E+001, 7.7128242E+001,-2.7314999E+002
 5.5300000E+003, 2.4701744E+001, 7.6737206E+001,-2.7314999E+002
 5.5500000E+003, 2.4476219E+001, 7.6347450E+001,-2.7314999E+002
 5.5700000E+003, 2.4251204E+001, 7.5958969E+001,-2.7314999E+002
 5.5800000E+003, 2.4138885E+001, 7.5765213E+001,-2.7314999E+002
 5.6000000E+003, 2.3914631E+001, 7.5378639E+001,-2.7314999E+002
 5.6200000E+003, 2.3690878E+001, 7.4993324E+001,-2.7314999E+002
 5.6400000E+003, 2.3467628E+001, 7.4609261E+001,-2.7314999E+002
 5.6600000E+003, 2.3244879E+001, 7.4226456E+001,-2.7314999E+002
 5.6700000E+003, 2.3133692E+001, 7.4035515E+001,-2.7314999E+002
 5.6900000E+003, 2.2911692E+001, 7.3654564E+001,-2.7314999E+002
 5.7100000E+003, 2.2690189E+001, 7.3274857E+001,-2.7314999E+002
 5.7300000E+003, 2.2469181E+001, 7.2896370E+001,-2.7314999E+002
 5.7500000E+003, 2.2248667E+001, 7.2519104E+001,-2.7314999E+002
 5.7600000E+003, 2.2138596E+001, 7.2330933E+001,-2.7314999E+002
 5.7800000E+003, 2.1918819E+001, 7.1955490E+001,-2.7314999E+002
 5.8000000E+003, 2.1699533E+001, 7.1581261E+001,-2.7314999E+002
 5.8200000E+003, 2.1480736E+001, 7.1208229E+001,-2.7314999E+002
 5.8400000E+003, 2.1262424E+001, 7.0836395E+001,-2.7314999E+002
 5.8500000E+003, 2.1153450E+001, 7.0650925E+001,-2.7314999E+002
 5.8700000E+003, 2.0935867E+001, 7.0280876E+001,-2.7314999E+002
 5.8900000E+003, 2.0718765E+001, 6.9912010E+001,-2.7314999E+002
 5.9100000E+003, 2.0502148E+001, 6.9544319E+001,-2.7314999E+002
 5.9300000E+003, 2.0286007E+001, 6.9177803E+001,-2.7314999E+002
