time (s),MLR (kg/s),thikness (m),T(z=0),T(z=3),T(z=6),C_A (kg/m^3),C_B (kg/m^3),C_C (kg/m^3)
99.0,0.022626675500000002,0.018,699.1103102355092,533.665279271,405.1168364194,1399.4268684531999,13.451592546370023,0.00034594648050189324
99.5,0.0226433705,0.018,699.5530155519416,534.8030064874,406.2175335321,1398.3251887282,13.935973864304344,0.00038514317248874476
100.0,0.022660895099999998,0.018,699.9922979601997,535.9370278021,407.3199836821,1397.2525969685,14.407800025236043,0.00042740238595675994
100.5,0.0226792682,0.018,700.4280146137637,537.0676241018,408.4241063288,1396.2068002433,14.868032072023993,0.00047282691054959664
101.0,0.022698479,0.018,700.8603973898813,538.1945153889001,409.5300039725,1395.1846012689,15.317784583276989,0.0005214961647336952
101.5,0.0227185562,0.018,701.2892572615166,539.3178091643,410.6375741129,1394.1817101305,15.758842521195106,0.0005734828270446794
102.0,0.0227394788,0.018,701.7146625338863,540.4375154292001,411.74662175059996,1393.1927742858,16.19368430430609,0.0006288531416922157
102.5,0.0227612657,0.018,702.1367999043823,541.5535491854,412.857241885,1392.21144382283,16.62546715258793,0.0006876674856022696
103.0,0.0227839356,0.018,702.5554601732515,542.6658229344,413.9694320158,1391.2284927245,17.058013784433,0.0007499824495818957
103.5,0.022807477399999998,0.018,702.970820042444,543.7743441770999,415.08290214420003,1390.2329296318899,17.495783483735977,0.0008158531852114209
104.0,0.0228318996,0.018,703.3828578077326,544.879025415,416.1978447693,1389.21408010412,17.943835193546875,0.0008853332698640706
104.5,0.0228572111,0.018,703.7915951757874,545.979874149,417.3139648917,1388.1597943932798,18.40778370697501,0.0009584788454405982
105.0,0.0228834104,0.018,704.197110437499,547.0768953797,418.43145501050003,1387.05465846975,18.893766834289067,0.0010353485329187284
105.5,0.0229105262,0.018,704.5993478043331,548.1699671448,419.5500476692,1385.8836357858002,19.409001848923936,0.0011160512177350729
106.0,0.022938537,0.018,704.9983626712517,549.2589629484,420.66989032,1384.63195468976,19.959314268623984,0.0012005715415108476
106.5,0.0229674613,0.018,705.3942667481704,550.343858752,421.79070796679997,1383.2827320362403,20.552776751339934,0.0012890292614267523
107.0,0.022997307600000003,0.018,705.7868815784544,551.4246545556,422.91260311,1381.817788756696,21.19724031642795,0.0013815127719990841
107.5,0.023028084400000003,0.018,706.1764517964292,552.5012578604,424.03547074880004,1380.2183046399923,21.900956108627952,0.0014781201047192744
108.0,0.0230597902,0.018,706.5628220119675,553.573478668,425.1593133836,1378.4639130725561,22.672563965316044,0.0015789608826421511
108.5,0.0230924233,0.018,706.9461918400306,554.641414478,426.28393351479997,1376.534693062104,23.521130991755854,0.001684156346803703
