s,C,C,C,kg/m2/s,m,kW/m2,kW/m2
Time,"Tz0","Tz3","Tz6","MLR","thick","radiative hf","incident hf"
 8.0500000E+001, 4.2294734E+002, 2.1852691E+002, 9.3668914E+001, 2.2799521E-002, 1.8000000E-002, 3.7135014E+001, 5.0448075E+001
 8.1000000E+001, 4.2349431E+002, 2.1979192E+002, 9.4676814E+001, 2.2790889E-002, 1.8000000E-002, 3.7093115E+001, 5.0448075E+001
 8.1500000E+001, 4.2403836E+002, 2.2105482E+002, 9.5688913E+001, 2.2779848E-002, 1.8000000E-002, 3.7051345E+001, 5.0448075E+001
 8.2000000E+001, 4.2457619E+002, 2.2231447E+002, 9.6704986E+001, 2.2771387E-002, 1.8000000E-002, 3.7009958E+001, 5.0448075E+001
 8.2500000E+001, 4.2511119E+002, 2.2357176E+002, 9.7725128E+001, 2.2763430E-002, 1.8000000E-002, 3.6968686E+001, 5.0448075E+001
 8.3000000E+001, 4.2564164E+002, 2.2482674E+002, 9.8749123E+001, 2.2757159E-002, 1.8000000E-002, 3.6927680E+001, 5.0448075E+001
 8.3500000E+001, 4.2616703E+002, 2.2607818E+002, 9.9777064E+001, 2.2748817E-002, 1.8000000E-002, 3.6886968E+001, 5.0448075E+001
 8.4000000E+001, 4.2668964E+002, 2.2732771E+002, 1.0080871E+002, 2.2742612E-002, 1.8000000E-002, 3.6846382E+001, 5.0448075E+001
 8.4500000E+001, 4.2720704E+002, 2.2857422E+002, 1.0184419E+002, 2.2737933E-002, 1.8000000E-002, 3.6806108E+001, 5.0448075E+001
 8.5000000E+001, 4.2772076E+002, 2.2981796E+002, 1.0288323E+002, 2.2733452E-002, 1.8000000E-002, 3.6766037E+001, 5.0448075E+001
